1 James	4,735,694	Mary	3,265,105
2	John	4,502,387	Patricia	1,560,897
3	Robert	4,499,901	Jennifer	1,467,664
4	Michael	4,330,025	Linda	1,448,309
5	William	3,601,719	Elizabeth	1,428,981
6	David	3,563,170	Barbara	1,402,428
7	Richard	2,467,544	Susan	1,104,407
8	Joseph	2,352,889	Jessica	1,045,519
9	Thomas	2,160,330	Sarah	993,847
10	Charles	2,106,078	Karen	985,728
11	Christopher	2,032,843	Nancy	969,544
12	Daniel	1,889,640	Lisa	965,003
13	Matthew	1,600,285	Margaret	944,344
14	Anthony	1,403,920	Betty	938,638
15	Donald	1,348,220	Sandra	873,609
16	Mark	1,346,509	Ashley	847,504
17	Paul	1,286,846	Dorothy	847,468
18	Steven	1,281,302	Kimberly	838,235
19	Andrew	1,252,016	Emily	826,262
20	Kenneth	1,226,558	Donna	823,285
21	Joshua	1,214,872	Michelle	811,401
22	Kevin	1,172,372	Carol	807,303
23	Brian	1,166,797	Amanda	772,882
24	George	1,159,331	Melissa	753,157
25	Edward	1,097,742	Deborah	739,809
26	Ronald	1,073,062	Stephanie	738,123
27	Timothy	1,069,165	Rebecca	729,683
28	Jason	1,035,285	Laura	721,299
29	Jeffrey	975,104	Sharon	720,816
30	Ryan	937,629	Cynthia	705,685
31	Jacob	925,412	Kathleen	689,366
32	Gary	899,858	Amy	680,682
33	Nicholas	891,818	Shirley	668,154
34	Eric	877,492	Angela	658,437
35	Jonathan	844,121	Helen	652,923
36	Stephen	840,005	Anna	629,400
37	Larry	802,430	Brenda	606,286
38	Justin	777,285	Pamela	592,694
39	Scott	769,663	Nicole	588,265
40	Brandon	759,155	Samantha	576,029
41	Benjamin	730,425	Katherine	574,858
42	Samuel	710,086	Emma	570,150
43	Frank	707,244	Ruth	563,391
44	Gregory	706,987	Christine	563,333
45	Raymond	679,913	Catherine	550,466
46	Alexander	666,982	Debra	548,279
47	Patrick	663,725	Rachel	546,309
48	Jack	637,347	Carolyn	542,250
49	Dennis	611,319	Janet	541,277
50	Jerry	602,696	Virginia	531,894
51	Tyler	589,687	Maria	528,760
52	Aaron	579,578	Heather	524,161
53	Jose	559,823	Diane	515,256
54	Henry	553,392	Julie	506,315
55	Adam	551,342	Joyce	500,601
56	Douglas	549,324	Victoria	481,786
57	Nathan	544,555	Kelly	471,257
58	Peter	540,603	Christina	471,012
59	Zachary	537,934	Lauren	469,625
60	Kyle	480,276	Joan	469,101
61	Walter	476,581	Evelyn	466,314
62	Harold	448,640	Olivia	464,246
63	Jeremy	437,552	Judith	449,885
64	Ethan	435,390	Megan	437,186
65	Carl	431,805	Cheryl	436,878
66	Keith	431,764	Martha	434,595
67	Roger	429,723	Andrea	434,410
68	Gerald	428,208	Frances	429,429
69	Christian	425,034	Hannah	426,616
70	Terry	422,106	Jacqueline	420,348
71	Sean	418,691	Ann	412,411
72	Arthur	415,722	Gloria	409,072
73	Austin	411,665	Jean	407,127
74	Noah	409,039	Kathryn	406,120
75	Lawrence	407,197	Alice	404,664
76	Jesse	388,484	Teresa	404,603
77	Joe	388,230	Sara	401,653
78	Bryan	381,581	Janice	400,210
79	Billy	379,560	Doris	395,048
80	Jordan	378,141	Madison	387,071
81	Albert	377,227	Julia	383,225
82	Dylan	377,049	Grace	379,239
83	Bruce	375,986	Judy	378,014
84	Willie	367,775	Abigail	373,862
85	Gabriel	352,072	Marie	373,633
86	Alan	348,591	Denise	371,019
87	Juan	345,375	Beverly	370,608
88	Logan	341,413	Amber	369,981
89	Wayne	339,139	Theresa	369,848
90	Ralph	338,689	Marilyn	369,847
91	Roy	338,079	Danielle	367,791
92	Eugene	330,306	Diana	358,617
93	Randy	327,821	Brittany	358,579
94	Vincent	322,824	Natalie	352,644
95	Russell	321,274	Sophia	351,883
96	Louis	320,157	Rose	351,296
97	Philip	315,423	Isabella	342,345
98	Bobby	313,302	Alexis	339,548
99	Johnny	308,243	Kayla	339,169
100	Bradley	306,339	Charlotte
